SIGNIN,Sign In
BILLING_ADDRESS,Billing Address
SHIPPING_METHOD,Shipping Method
ORDER_ITEMS,Order Items
ORDER_SUMMARY,Order Summary
SUBTOTAL,Subtotal
VAT_18_PERCENT,VAT (18%)
SHIPPING_FEE,Shipping fee
DISCOUNT,Discount
TOTAL,Total
TOTAL_AMOUNT,Total Amount
PAYMENT_METHOD,Payment Method
PROMO_CODE,Promo Code
ENTER_PROMO_CODE,Enter promo code
APPLY,Apply
PLACE_ORDER,Place Order
LOADING_SHIPPING_METHODS,Loading shipping methods...
NO_SHIPPING_METHODS_AVAILABLE,No shipping methods available
NO_PAYMENT_METHODS_AVAILABLE,No payment methods available
SIZE,Size
COLOR,Color
QTY,Qty
PHONE,Phone
NO_ADDRESS_AVAILABLE,No address available
ADD_ADDRESS,Add Address
DEFAULT,Default
SAME,Same
EXPIRES,Expires
PLEASE_ENTER_PROMO_CODE,Please enter a promo code
COUPON_ALREADY_APPLIED_REMOVE_FIRST,A coupon is already applied. Please remove it first.
COUPON_APPLIED,Coupon applied
FAILED_TO_APPLY_COUPON,Failed to apply coupon
COUPON_REMOVED,Coupon removed
FAILED_TO_REMOVE_COUPON,Failed to remove coupon
PLEASE_COMPLETE_ALL_CHECKOUT_STEPS,Please complete all checkout steps before placing your order.
FAILED_TO_PLACE_ORDER,Failed to place order
UNKNOWN_ERROR,Unknown error
FAILED_TO_PLACE_ORDER_TRY_AGAIN,Failed to place order. Please try again.
ORDER_PLACED_SUCCESSFULLY,Order Placed Successfully!
ORDER_NUMBER,Order Number
THANK_YOU_FOR_SHOPPING,Thank you for shopping with us!
BACK_TO_HOME,Back to Home
FIRST_NAME_REQUIRED,First Name is required
LAST_NAME_REQUIRED,Last Name is required
STREET_REQUIRED,Street is required
CITY_REQUIRED,City is required
POSTAL_CODE_REQUIRED,Zip/Postal Code is required
STATE_PROVINCE_REQUIRED,State/Province is required
ADDED_SUCCESSFULLY,Added Successfully
UPDATE_SUCCESSFULLY,Update Successfully
ERROR_ADDING_ADDRESS,Error adding address
ERROR_UPDATING_ADDRESS,Error updating address
UPDATE_ADDRESS,Update Address
ADD_NEW_ADDRESS,Add New Address
CONTACT_INFORMATION,Contact Information
FIRST_NAME,First Name
LAST_NAME,Last Name
PHONE_NO,Phone No
ADDRESS,Address
STREET,Street
COUNTRY,Country
SEARCH,Search
STATE_PROVINCE,State/Province
PLEASE_SELECT_REGION_STATE_PROVINCE,Please select a region state or province.
CITY,City
ZIP_POSTAL_CODE,Zip/Postal Code
ITS_DEFAULT_BILLING_ADDRESS,It's a default billing address.
USE_AS_DEFAULT_BILLING_ADDRESS,Use as my default billing address
ITS_DEFAULT_SHIPPING_ADDRESS,It's a default shipping address.
USE_AS_DEFAULT_SHIPPING_ADDRESS,Use as my default shipping address
SAVE_ADDRESS,Save Address
MY_ACCOUNT,My Account
FIRST_NAME_REQUIRED,First Name is required
LAST_NAME_REQUIRED,Last Name is required
EMAIL_REQUIRED,Email is required
EMAIL_ADDRESS_INVALID,Email address is invalid
EMAIL_ADDRESS_ALREADY_EXISTS,Email address already exist
CURRENT_PASSWORD_REQUIRED,Current Password is required
PASSWORD_REQUIRED,Password is required
PASSWORD_VALIDATION_MESSAGE,Your password must be 8 characters long and atleast one Lower Case Upper Case Digits Special Characters.
CONFIRM_PASSWORD_REQUIRED,Confirm Password is required
PASSWORD_CONFIRM_MUST_MATCH,Password and Confirm Password must be same
UPDATE_FAILED,Update failed
ACCOUNT_UPDATED_SUCCESSFULLY,Account Updated Successfully!
FIRST_NAME,First Name
LAST_NAME,Last Name
EMAIL,Email
INVALID_EMAIL_FORMAT,Invalid email format
CHANGE_PASSWORD,Change Password
OLD_PASSWORD,Old Password
NEW_PASSWORD,New Password
NEW_CONFIRM_PASSWORD,New Confirm Password
SHOW_PASSWORD,Show Password
LOADING,Loading
UPDATE,Update
DELETED_SUCCESSFULLY,Deleted Successfully
CONFIRM_DELETE,Confirm Delete
ARE_YOU_SURE_DELETE_ADDRESS,Are you sure you want to delete this address?
PHONE_NUMBER,Phone Number
EDIT,Edit
NO_ADDRESSES_FOUND,No addresses found
ADD_FIRST_ADDRESS_TO_GET_STARTED,Add your first address to get started
ADDRESS_BOOK,Address Book
DEFAULT_ADDRESSES,Default Addresses
DEFAULT_BILLING_ADDRESS,Default Billing Address
DEFAULT_SHIPPING_ADDRESS,Default Shipping Address
ADDITIONAL_ADDRESS_ENTRIES,Additional Address Entries
PHONE_SHORT,T
MY_OPEN_ORDERS,My Orders
SEEMS_NOTHING_HERE,Seems like nothing is here
CONTINUE_SHIPPING,Continue Shopping
ORDER_NOT_FOUND,Order not found.
ORDER_DETAILS,Order details
ORDER,Order
GRAND_TOTAL,Grand Total
ITEMS_ORDERED,Items Ordered
SKU,SKU
SHIPPING_HANDLING,Shipping & Handling
TAX,Tax
ORDER_INFORMATION,Order Information
VIEW_DETAILS,View Details
REORDER,Reorder
REORDER_PLACED,Reorder placed!

